,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
36,2020-06-21,1592672400,90.0,77.7,81.4,105.7,77.7,87.7,77.9,89.5,1.0,100.0,8.33,0.0,0.0,14.5,307.5,60.9,5.6,141.1,12.2,5.0,05:32:24,1592692344,18:17:43,1592738263,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
37,2020-06-22,1592758800,93.2,77.0,84.0,103.2,77.0,90.6,76.3,79.7,0.0,100.0,54.17,0.0,0.0,12.7,194.3,54.4,6.0,179.9,15.6,6.0,05:32:38,1592778758,18:17:55,1592824675,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
38,2020-06-23,1592845200,95.0,78.8,86.4,106.4,78.8,95.5,76.3,73.8,1.0,0.0,0.0,0.0,0.0,6.9,239.5,58.1,6.0,150.8,13.0,5.0,05:32:51,1592865171,18:18:07,1592911087,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
39,2020-06-24,1592931600,94.2,76.3,84.6,106.5,76.3,93.4,76.7,78.5,1.0,100.0,58.33,0.0,0.0,12.2,261.3,53.2,5.8,144.1,12.5,5.0,05:33:05,1592951585,18:18:19,1592997499,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
40,2020-06-25,1593018000,87.9,77.0,80.5,102.7,77.0,84.8,77.6,91.4,1.0,100.0,8.33,0.0,0.0,10.2,254.7,56.8,4.8,128.1,11.2,4.0,05:33:19,1593037999,18:18:30,1593083910,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
41,2020-06-26,1593104400,92.3,77.0,82.3,102.5,77.0,87.8,76.2,83.0,1.0,100.0,66.67,0.0,0.0,9.6,248.3,55.2,5.0,130.5,11.4,4.0,05:33:34,1593124414,18:18:41,1593170321,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
42,2020-06-27,1593190800,91.4,77.1,83.8,103.8,77.1,90.6,75.9,78.3,1.0,100.0,54.17,0.0,0.0,10.5,226.5,56.7,5.9,163.1,14.1,6.0,05:33:48,1593210828,18:18:51,1593256731,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
43,2020-06-28,1593277200,89.6,76.9,81.3,101.1,76.9,87.3,76.7,86.3,1.0,100.0,12.5,0.0,0.0,14.8,228.9,62.8,5.4,185.9,16.0,7.0,05:34:03,1593297243,18:19:01,1593343141,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
44,2020-06-29,1593363600,86.0,75.9,78.8,99.3,75.9,80.4,76.1,91.8,1.0,100.0,8.33,0.0,0.0,17.6,239.2,61.8,5.3,145.3,12.5,5.0,05:34:18,1593383658,18:19:10,1593429550,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
45,2020-06-30,1593450000,87.8,77.0,80.4,102.3,77.0,85.1,77.0,89.7,1.0,100.0,4.17,0.0,0.0,11.0,259.0,56.5,4.8,186.7,16.1,6.0,05:34:33,1593470073,18:19:18,1593515958,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
46,2020-07-01,1593536400,89.6,77.0,81.9,101.6,77.0,87.4,76.6,85.1,1.0,100.0,4.17,0.0,0.0,11.9,258.4,51.0,5.0,210.3,18.2,7.0,05:34:48,1593556488,18:19:26,1593602366,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
47,2020-07-02,1593622800,90.3,75.9,82.4,102.6,75.9,88.1,76.0,82.2,1.0,100.0,4.17,0.0,0.0,15.6,245.0,56.9,6.1,204.2,17.7,7.0,05:35:04,1593642904,18:19:33,1593688773,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
48,2020-07-03,1593709200,84.9,76.9,80.9,95.3,76.9,85.7,76.1,86.0,1.0,100.0,12.5,0.0,0.0,11.8,225.2,57.7,5.8,142.3,12.1,5.0,05:35:19,1593729319,18:19:39,1593775179,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
